procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1      0 69362720   7840  72584    0    0 15552     0 56728 57551  1  0 94  4  0	
 0  2      0 69362720   7840  72584    0    0 15360     0 57309 58126  1  0 94  4  0	
 2  0      0 69362720   7840  72584    0    0 14720     0 55515 56138  1  0 94  4  0	
 2  0      0 69362720   7848  72576    0    0 15424    12 58081 58957  1  1 94  4  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 69362720   7848  72588    0    0 15712     0 57374 58109  2  0 94  4  0	
 2  0      0 69362720   7848  72588    0    0 15584     8 57607 58491  1  0 94  4  0	
 2  0      0 69362720   7848  72588    0    0 15904     0 57782 58638  1  0 95  4  0	
 2  0      0 69362720   7848  72588    0    0 15728     0 57547 58412  1  0 94  4  0	
 2  0      0 69362720   7848  72588    0    0 15728     0 57925 58778  1  0 94  4  0	
 2  0      0 69362720   7856  72580    0    0 15488    12 57489 58230  1  0 94  4  0	
 1  1      0 69362720   7856  72580    0    0 15664     0 57721 58501  1  1 94  4  0	
 1  1      0 69362720   7856  72580    0    0 14928     0 57280 58110  1  0 94  4  0	
 1  1      0 69362720   7856  72580    0    0 15216     0 57132 57760  1  1 94  4  0	
 1  1      0 69362720   7856  72580    0    0 15680     0 56996 57836  1  0 94  4  0	
 1  1      0 69362720   7864  72584    0    0 15424    12 56899 57685  1  1 94  4  0	
 2  0      0 69362720   7864  72584    0    0 16432     0 56879 57823  1  0 94  4  0	
 0  2      0 69362720   7864  72584    0    0 16352     0 56708 57548  1  0 94  4  0	
 1  1      0 69362720   7864  72584    0    0 15024     0 58286 59110  1  0 94  4  0	
 2  0      0 69362720   7864  72584    0    0 15952     0 57634 58405  1  0 94  4  0	
 1  1      0 69362720   7864  72584    0    0 15760     0 57816 58666  1  0 94  4  0	
 0  2      0 69362720   7872  72576    0    0 15888    16 56987 57779  1  0 94  4  0	
 3  0      0 69362720   7872  72576    0    0 15392     0 58451 59372  1  1 94  4  0	
 1  1      0 69362720   7872  72588    0    0 16096     0 57363 58156  1  0 94  4  0	
 2  0      0 69362720   7872  72588    0    0 15840     0 58384 59281  1  0 94  4  0	
 1  0      0 69362720   7872  72588    0    0 14944     0 59814 60367  1  0 95  4  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1      0 69362720   7880  72580    0    0 15616    12 58754 59350  1  0 94  4  0	
 2  0      0 69362720   7880  72580    0    0 15520     0 56458 57165  1  0 94  4  0	
 2  0      0 69362720   7880  72580    0    0 15312     0 59322 59831  1  0 94  4  0	
 3  1      0 69362720   7880  72580    0    0 16592     0 57633 58180  1  0 94  4  0	
 0  2      0 69362720   7880  72580    0    0 15440     0 58726 59288  1  0 95  4  0	
 1  1      0 69362720   7880  72592    0    0 15568    16 57641 58179  1  0 94  4  0	
 3  0      0 69362720   7888  72592    0    0 15504    20 58326 58975  1  0 95  4  0	
 1  1      0 69362720   7888  72592    0    0 14960     0 58505 58959  1  1 94  4  0	
 1  1      0 69362720   7888  72592    0    0 15312     0 57095 57549  1  0 94  4  0	
 2  0      0 69362720   7888  72592    0    0 15984     0 58223 58715  1  1 94  4  0	
 3  0      0 69362720   7888  72596    0    0 15440     0 59540 60063  1  0 95  4  0	
 2  0      0 69362720   7896  72592    0    0 15872    12 56526 57036  1  0 94  4  0	
 1  1      0 69362720   7896  72592    0    0 15840     0 58103 58512  1  0 94  4  0	
 2  0      0 69362720   7896  72596    0    0 14800     0 56327 56911  1  0 94  4  0	
 1  1      0 69362720   7896  72596    0    0 15456     0 59188 59675  1  0 95  4  0	
 2  1      0 69362720   7896  72596    0    0 16304     0 56764 57306  1  1 94  4  0	
 3  0      0 69362720   7896  72596    0    0 14576    12 58343 59060  1  0 94  4  0	
 2  1      0 69362720   7904  72588    0    0 14864    12 59058 59524  1  0 95  4  0	
 2  0      0 69362720   7904  72588    0    0 15952     0 58216 58720  1  0 94  4  0	
 3  0      0 69362720   7904  72588    0    0 16320     0 58092 58712  1  0 94  4  0	
 1  1      0 69362720   7904  72588    0    0 15408     0 58793 59353  1  0 95  4  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  1      0 69362720   7904  72596    0    0 15552     0 58102 58722  1  1 94  4  0	
 1  1      0 69362720   7912  72588    0    0 15632    12 58012 58557  1  0 94  4  0	
 0  2      0 69362720   7912  72588    0    0 15296     0 59950 60381  1  1 94  4  0	
 1  1      0 69362720   7912  72596    0    0 14816     0 59421 59925  1  0 95  4  0	
 1  1      0 69362720   7912  72596    0    0 16144     0 57941 58461  1  0 94  4  0	
 3  0      0 69362720   7912  72596    0    0 15968     4 58274 58689  1  0 94  4  0	
 0  2      0 69362720   7912  72596    0    0 15408     0 58363 58864  1  0 94  4  0	
 3  1      0 69362848   7920  72596    0    0 14944    12 58024 58258  1  0 95  4  0	
 1  1      0 69362352   7920  72596    0    0 15056     0 58504 58776  1  0 94  4  0	
 3  0      0 69362352   7920  72596    0    0 14240     0 59574 59827  1  0 94  4  0	
 2  0      0 69362352   7920  72596    0    0 16176     0 57668 57961  1  0 94  4  0	
 2  0      0 69362352   7920  72596    0    0 16032     0 57738 57963  1  0 94  4  0	
 1  1      0 69362352   7928  72588    0    0 15984    20 58141 58387  1  0 95  4  0	
 1  1      0 69362352   7928  72588    0    0 15648     0 58474 58686  1  0 94  4  0	
 1  1      0 69362352   7928  72588    0    0 15536     0 58742 58972  1  0 94  4  0	
 1  1      0 69362352   7928  72596    0    0 15520    12 57949 58122  1  0 94  4  0	
 2  0      0 69362352   7928  72596    0    0 15296     0 57538 57816  1  0 94  4  0	
 1  1      0 69362352   7936  72588    0    0 15232    20 58437 58707  1  0 94  4  0	
 2  0      0 69362352   7936  72588    0    0 15952     0 57693 58000  1  0 94  4  0	
 2  0      0 69362352   7936  72588    0    0 15504     0 58099 58482  1  0 94  4  0	
 1  1      0 69362352   7936  72588    0    0 15888     0 58467 58893  1  0 95  4  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 69362352   7936  72588    0    0 15216     0 59270 59420  1  0 94  4  0	
 2  1      0 69362352   7936  72588    0    0 15568     0 58121 58528  1  1 94  4  0	
 0  2      0 69362352   7944  72580    0    0 16096    12 58332 58729  1  0 94  4  0	
 2  0      0 69362352   7944  72600    0    0 15312     0 57191 57618  1  0 94  4  0	
 1  1      0 69362352   7944  72600    0    0 16896     0 56905 57222  1  0 94  4  0	
 0  2      0 69362352   7944  72600    0    0 15584     0 57061 57316  1  0 94  4  0	
 3  0      0 69362352   7944  72604    0    0 14816     0 58194 58488  1  0 95  4  0	
 3  0      0 69362352   7952  72596    0    0 15824    12 58583 58900  1  0 94  4  0	
 2  1      0 69362352   7952  72596    0    0 15440     0 58985 59350  1  0 95  4  0	
 0  2      0 69362352   7952  72596    0    0 16320    16 57963 58395  1  0 94  4  0	
 2  0      0 69362352   7952  72604    0    0 15600     0 58026 58635  1  0 94  4  0	
 2  0      0 69362352   7952  72604    0    0 15968     0 58096 58658  1  0 94  4  0	
 1  1      0 69362352   7952  72604    0    0 15536     0 58814 59245  1  0 95  4  0	
 2  0      0 69362352   7960  72604    0    0 15968    12 56645 57024  1  0 94  4  0	
 1  1      0 69362352   7960  72604    0    0 14992     0 57313 57736  1  0 94  4  0	
 2  1      0 69362352   7960  72604    0    0 15488     0 56168 56609  1  0 94  4  0	
 2  0      0 69362352   7960  72604    0    0 15040     0 58776 59397  2  0 94  4  0	
 1  1      0 69362352   7960  72604    0    0 15312     0 56286 57020  1  0 94  4  0	
 2  0      0 69362352   7968  72596    0    0 15296    12 57773 58463  1  0 94  4  0	
 2  0      0 69362352   7968  72604    0    0 15472     0 57872 58422  1  0 94  4  0	
 1  1      0 69362352   7968  72604    0    0 15424     8 57372 57915  1  0 94  4  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 69362352   7968  72604    0    0 15312     0 58247 58790  1  0 94  4  0	
 2  0      0 69362352   7968  72604    0    0 15856     0 58215 58758  1  0 94  4  0	
 0  2      0 69362352   7968  72604    0    0 15760     0 58062 58634  1  0 94  4  0	
 1  1      0 69362352   7976  72596    0    0 15952    12 58435 59023  1  1 94  4  0	
 3  0      0 69362352   7984  72588    0    0 16160    16 57059 57521  1  1 94  4  0	
 2  0      0 69362352   7984  72588    0    0 14944     0 58680 59183  1  0 94  4  0	
 1  1      0 69362352   7984  72604    0    0 16016     0 58380 58964  1  0 94  4  0	
 1  1      0 69362352   7984  72604    0    0 15568     0 58204 58786  1  0 94  4  0	
 3  0      0 69362352   7992  72596    0    0 15712    32 58893 59523  1  0 94  4  0	
 1  1      0 69362352   7992  72604    0    0 15488     0 59097 59531  1  0 94  4  0	
 4  0      0 69362352   7992  72604    0    0 15632     0 58039 58537  1  0 94  4  0	
 3  0      0 69362352   7992  72604    0    0 15824     0 58065 58518  1  0 94  4  0	
 1  1      0 69362352   7992  72604    0    0 15376     0 59032 59505  1  0 94  4  0	
 1  1      0 69362352   7992  72604    0    0 15040     0 56230 57529  1  0 94  4  0	
 0  2      0 69362352   8000  72604    0    0 15536    12 56406 56989  1  0 94  4  0	
 1  1      0 69362352   8000  72604    0    0 15152     0 56270 56688  1  0 94  4  0	
 1  1      0 69362352   8000  72608    0    0 15280     0 58206 58606  1  0 94  4  0	
 1  1      0 69362352   8000  72608    0    0 15264     0 59525 60008  1  0 95  4  0	
 2  0      0 69362352   8000  72608    0    0 14944     0 56897 57843  1  1 95  4  0	
 1  1      0 69362352   8008  72600    0    0 15552    12 58633 59477  1  0 94  4  0	
 1  1      0 69362352   8008  72608    0    0 16096     0 57248 58132  1  0 94  4  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 69362352   8008  72608    0    0 15680     0 59517 60227  1  0 95  4  0	
 4  0      0 69362352   8008  72608    0    0 15360     0 59284 59851  1  0 94  4  0	
 2  0      0 69362352   8008  72608    0    0 16576     0 58052 58680  1  0 94  4  0	
 1  1      0 69362352   8008  72608    0    0 15328    20 58228 58786  1  1 94  4  0	
 3  0      0 69362352   8016  72600    0    0 15408    12 59385 60042  1  0 94  4  0	
 2  0      0 69362352   8016  72608    0    0 14640     0 59637 60442  1  1 94  4  0	
 2  0      0 69362352   8016  72608    0    0 15648     0 58454 59055  1  0 94  4  0	
 2  0      0 69362352   8016  72608    0    0 15904     0 57335 58037  1  0 94  4  0	
 2  0      0 69362352   8016  72608    0    0 15392     0 57801 58325  1  1 94  4  0	
 2  1      0 69362352   8024  72604    0    0 15216    12 59201 59815  1  0 95  4  0	
 2  0      0 69362352   8024  72604    0    0 14560     0 57428 58453  1  0 94  4  0	
 3  0      0 69362352   8024  72604    0    0 15136     0 58309 58927  1  0 94  4  0	
 2  1      0 69362352   8024  72604    0    0 15712     0 58052 58941  1  0 95  4  0	
 1  1      0 69362352   8024  72604    0    0 15792    16 56731 57327  1  0 94  4  0	
 1  1      0 69362352   8024  72604    0    0 15008     0 59646 60274  1  0 94  4  0	
 3  0      0 69362352   8032  72596    0    0 15392    28 58937 59615  1  0 94  4  0	
 1  1      0 69362352   8032  72596    0    0 14976     0 60322 61096  1  1 95  4  0	
 1  1      0 69362352   8032  72612    0    0 16400     0 57949 58614  1  0 94  4  0	
 1  1      0 69362352   8032  72612    0    0 14864     0 59161 59746  1  1 94  4  0	
 1  1      0 69362352   8032  72612    0    0 15760     0 57485 57956  1  1 94  4  0	
 2  0      0 69362352   8040  72612    0    0 15280    12 58682 59051  1  0 94  4  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  1      0 69362352   8040  72612    0    0 16064     0 57000 57563  1  0 94  4  0	
 1  1      0 69362352   8040  72612    0    0 15136     0 58100 58755  1  0 94  4  0	
 2  0      0 69362352   8040  72612    0    0 15184     0 56879 57697  1  1 94  4  0	
 0  2      0 69362352   8040  72612    0    0 15504     0 58341 58922  1  0 94  4  0	
 3  0      0 69362352   8040  72612    0    0 14816     0 57739 58304  1  0 94  4  0	
 0  2      0 69362352   8048  72612    0    0 15312    12 58568 59261  1  0 95  4  0	
 3  0      0 69362352   8048  72612    0    0 15824     0 58462 59084  1  0 94  4  0	
 2  0      0 69362352   8048  72612    0    0 16080     0 58113 58628  1  1 94  4  0	
 2  0      0 69362352   8048  72612    0    0 15328     0 58802 59432  1  0 95  4  0	
 3  0      0 69362352   8048  72616    0    0 15312     0 59548 60213  1  0 94  4  0	
 3  1      0 69362352   8056  72608    0    0 16000    12 57822 58402  1  1 94  4  0	
 3  0      0 69362352   8056  72608    0    0 15328     0 57981 58567  1  0 94  4  0	
 2  0      0 69362352   8056  72616    0    0 15248     0 57917 58295  1  1 94  4  0	
 1  1      0 69362352   8056  72616    0    0 15488    16 59072 59470  1  0 94  4  0	
 1  1      0 69362352   8056  72616    0    0 15008     0 58877 59312  1  1 94  4  0	
 1  1      0 69362352   8056  72616    0    0 14688     0 59072 59481  1  0 94  4  0	
 2  0      0 69362352   8064  72608    0    0 15888    12 57796 58151  1  0 94  4  0	
 3  0      0 69362352   8064  72616    0    0 15712     0 59032 59341  1  0 94  4  0	
 1  1      0 69362352   8064  72616    0    0 15408     0 59664 60171  1  0 94  4  0	
 2  0      0 69362352   8064  72616    0    0 14576     0 59310 59829  1  1 94  4  0	
 3  0      0 69362352   8064  72616    0    0 15840     0 57806 58256  1  0 94  4  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 69362352   8072  72612    0    0 15600    16 59159 59638  1  0 94  4  0	
 2  0      0 69362352   8072  72612    0    0 15792     0 58031 58406  1  1 94  4  0	
 2  0      0 69362352   8072  72612    0    0 15616     4 58862 59152  1  0 95  4  0	
 3  0      0 69362352   8072  72612    0    0 15360     0 58808 59223  1  0 95  4  0	
 2  0      0 69362352   8072  72616    0    0 15776     0 57260 57632  1  0 94  4  0	
 1  1      0 69362352   8080  72616    0    0 16640    12 56946 57345  1  1 94  4  0	
 1  1      0 69362352   8080  72616    0    0 15648     0 58546 58901  1  0 94  4  0	
 1  1      0 69362352   8080  72616    0    0 16240     8 57973 58380  1  0 94  4  0	
 2  0      0 69362352   8080  72616    0    0 15216     0 58841 59227  1  0 94  4  0	
 1  1      0 69362352   8080  72616    0    0 15600     0 58538 58941  1  0 95  4  0	
 2  0      0 69362352   8080  72620    0    0 15680     0 58651 59017  1  0 94  4  0	
 2  0      0 69362352   8088  72612    0    0 15008    24 56110 56433  1  0 94  4  0	
 2  0      0 69362352   8088  72620    0    0 14752     0 57857 58215  1  0 94  4  0	
 3  0      0 69362352   8088  72620    0    0 14656     0 58287 58750  1  0 94  4  0	
 2  0      0 69362352   8088  72620    0    0 15040     0 57623 58078  1  0 94  4  0	
 1  1      0 69362352   8088  72620    0    0 14880     0 59932 60353  1  0 95  4  0	
 1  1      0 69362352   8096  72612    0    0 15584    12 58479 58849  1  0 94  4  0	
 1  1      0 69362352   8096  72612    0    0 15312     0 56459 56748  1  0 94  4  0	
 1  1      0 69362352   8096  72612    0    0 16096     0 58338 58661  1  0 94  4  0	
 2  0      0 69362352   8096  72612    0    0 15216     0 58804 59204  1  0 94  4  0	
 2  0      0 69362352   8096  72612    0    0 15408     0 58746 59107  1  1 94  4  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  3      0 69362352   8096  72612    0    0 15056     8 57379 57733  1  1 94  4  0	
 1  1      0 69362352   8104  72604    0    0 15392     4 57683 58227  1  0 94  4  0	
 1  1      0 69362352   8104  72624    0    0 15776     0 57923 58496  1  0 94  4  0	
 1  1      0 69362352   8104  72624    0    0 14704     0 58680 59252  1  0 94  4  0	
 2  0      0 69362352   8104  72624    0    0 15824     0 58307 58879  1  0 94  4  0	
 1  1      0 69362352   8104  72624    0    0 16464     0 58282 58939  1  1 94  4  0	
 2  0      0 69362352   8112  72616    0    0 15552    12 58083 58701  1  0 94  4  0	
 2  0      0 69362352   8112  72616    0    0 15472    20 58115 58673  1  0 94  4  0	
 1  1      0 69362352   8112  72616    0    0 14608     0 58751 59322  1  0 94  4  0	
 0  2      0 69362352   8112  72616    0    0 15216     0 58800 59485  1  0 94  4  0	
 1  1      0 69362352   8112  72624    0    0 15056     0 58328 58926  1  0 94  4  0	
 2  1      0 69362352   8120  72616    0    0 15920    12 58050 58663  1  0 94  4  0	
 2  1      0 69362352   8120  72616    0    0 15664     8 57847 58367  1  0 94  4  0	
 3  0      0 69362352   8120  72616    0    0 15312     0 56599 57118  1  0 94  4  0	
 2  0      0 69362352   8120  72616    0    0 15120     0 56796 57328  1  0 94  4  0	
 3  0      0 69362352   8120  72616    0    0 16048     0 57211 57717  1  0 94  4  0	
 2  1      0 69362352   8120  72616    0    0 15968     0 58624 59178  1  0 94  4  0	
 2  0      0 69362352   8128  72608    0    0 15792    32 57299 57895  1  0 94  4  0	
 2  1      0 69362352   8128  72624    0    0 15632     0 58132 58766  1  0 95  4  0	
 2  1      0 69362352   8128  72624    0    0 14832     0 59306 59889  1  1 94  4  0	
 2  1      0 69362352   8128  72624    0    0 15440     0 57796 58292  1  1 94  4  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 69362352   8128  72624    0    0 15888     0 58600 59152  1  0 94  4  0	
 1  1      0 69362352   8136  72616    0    0 15664    24 57397 57839  1  0 94  4  0	
 3  0      0 69362352   8136  72616    0    0 15056     0 58374 58933  1  1 94  4  0	
